symbol,date,price
ABBV,2022/01/31,136.89
ACN,2022/01/31,353.58
AEP,2022/01/31,89.618
AIZ,2022/01/31,151.876
ALLE,2022/01/31,122.28
AMAT,2022/01/31,137.931
AMP,2022/01/31,303.233
AMZN,2022/01/31,2991.47
AVB,2022/01/31,244.23
AVY,2022/01/31,204.627
AXP,2022/01/31,179.82
BDX,2022/01/31,253.306
BF-B,2022/01/31,67.248
BMY,2022/01/31,64.89
BR,2022/01/31,158.515
CARR,2022/01/31,47.68
CDW,2022/01/31,188.491
CE,2022/01/31,155.018
CHTR,2022/01/31,593.34
CNC,2022/01/31,77.76
CNP,2022/01/31,28.181
COP,2022/01/31,88.176
CTAS,2022/01/31,390.54
CZR,2022/01/31,76.14
DG,2022/01/31,208.48
DPZ,2022/01/31,453.356
DRE,2022/01/31,57.483
DXC,2022/01/31,30.08
EWA,2022/01/31,22.84
EWC,2022/01/31,38.19
EWG,2022/01/31,32.01
EWH,2022/01/31,23.71
EWJ,2022/01/31,64.08
EWL,2022/01/31,49.33
EWQ,2022/01/31,37.89
EWT,2022/01/31,64.89
EWU,2022/01/31,33.89
EWY,2022/01/31,72.39
EWZ,2022/01/31,31.62
FB,2022/01/31,313.26
FTV,2022/01/31,70.461
GOOG,2022/01/31,2713.97
GPC,2022/01/31,132.276
GSG,2022/01/31,19.12
HIG,2022/01/31,71.479
HIGH.L,2022/01/31,5.419
HST,2022/01/31,17.34
HYG,2022/01/31,84.084
IAU,2022/01/31,34.22
ICLN,2022/01/31,18.75
IEAA.L,2022/01/31,5.26
IEF,2022/01/31,112.361
IEFM.L,2022/01/31,768.5
IEMG,2022/01/31,59.58
IEUS,2022/01/31,64.89
IEVL.L,2022/01/31,7.518
IGF,2022/01/31,47.24
INDA,2022/01/31,45.87
IUMO.L,2022/01/31,11.15
IUVL.L,2022/01/31,9.168
IVV,2022/01/31,450.274
IWM,2022/01/31,200.846
IXN,2022/01/31,59.54
JPEA.L,2022/01/31,5.76
JPM,2022/01/31,148.6
KR,2022/01/31,43.392
LQD,2022/01/31,127.257
MCHI,2022/01/31,62.6
